"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\css\bootstrap-iconpicker.css", "CSS", 0, 0, 0, 0, 40, 0, 0, 9, 12, 61
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\css\bootstrap-iconpicker.min.css", "CSS", 0, 0, 0, 0, 40, 0, 0, 9, 11, 60
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\bootstrap-iconpicker-iconset-all.js", "JavaScript", 0, 0, 26369, 0, 0, 0, 0, 78, 67, 26514
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\bootstrap-iconpicker-iconset-all.min.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 9, 1, 28
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\bootstrap-iconpicker.bundle.min.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 9, 1, 29
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\bootstrap-iconpicker.js", "JavaScript", 0, 0, 462, 0, 0, 0, 0, 34, 55, 551
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\bootstrap-iconpicker.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 9, 1, 11
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\iconset\fontawesome5-3-1-pro.js", "JavaScript", 0, 0, 2647, 0, 0, 0, 0, 6, 2, 2655
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\iconset\fontawesome5-3-1.js", "JavaScript", 0, 0, 1351, 0, 0, 0, 0, 6, 2, 1359
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\iconset\fontawesome5-3-1.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\iconset\ionicon2-0-1.js", "JavaScript", 0, 0, 743, 0, 0, 0, 0, 6, 2, 751
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\iconset\materialdesign2-2-0.js", "JavaScript", 0, 0, 828, 0, 0, 0, 0, 6, 2, 836
